X,Y,OBJECTID,ifc_uid,Type_Description,Session_Key,Object_Metadata,Botanical_ID,Planning_Ref_No,Number_Trees,Data_Sheet_URL,created_user,created_date,last_edited_user,last_edited_date
527080.0186,5252949.4122,1,1482103,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D5 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527084.289099999703467,5252935.646599999629,2,1482104,PLANNING Significant Trees,Sketch,,Pinus wallichiana,D6,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D6 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527066.08600000012666,5252934.3003,3,1482105,PLANNING Significant Trees,Sketch,,Populus nigra - italica,D7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D7 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527058.770600000396371,5252914.8069,4,1482106,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D8 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527046.771099999547005,5252894.1167,6,1482108,PLANNING Significant Trees,Sketch,,Pinus canariensis,D9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D9 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527103.8207,5252940.5537,7,1482109,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D10 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527134.065000000409782,5252951.989599999972,8,1482110,PLANNING Significant Trees,Sketch,,Pinus nigra var. maritima,D11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D11 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527147.293999999761581,5252940.397199999541,9,1482111,PLANNING Significant Trees,Sketch,,Pinus attenuata,D12,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D12 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526937.555200000293553,5252811.525299999863,10,1482113,PLANNING Significant Trees,Sketch,,Quercus robur,B8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B8 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527037.018000000156462,5252831.55,11,1482114,PLANNING Significant Trees,Sketch,,Cedrus deodara,B9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B9 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527031.561300000175834,5252822.615399999544,12,1482115,PLANNING Significant Trees,Sketch,,"Cedrus atlantica ""Glauca""",B10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B10 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527026.907999999821186,5252814.4763,13,1482116,PLANNING Significant Trees,Sketch,,Araucaria bidwillii,B11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B11 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527023.822399999946,5252809.371,14,1482117,PLANNING Significant Trees,Sketch,,Abies pinsapo,B12,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B12 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527019.531999999657273,5252802.678399999626,15,1482118,PLANNING Significant Trees,Sketch,,Aesculus hippocastanum,B13,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B13 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
